,device,input_shape,arch,th_fwd_time,tf_fwd_time,th_bprop_time,tf_bprop_time,tf/th_fwd_time,tf/th_bprop_time
0,gpu,32x32,"[8,8], 128",0.000156,0.000824,0.000482,0.002283,5.282051282051282,4.736514522821577
1,gpu,32x32,"[16,16], 128",0.000179,0.00104,0.000582,0.002102,5.810055865921788,3.611683848797251
2,gpu,32x32,"[32,16], 128",0.000168,0.00106,0.000541,0.002166,6.309523809523809,4.003696857670979
3,gpu,32x32,"[64,32], 512",0.000263,0.000923,0.000804,0.002207,3.5095057034220534,2.745024875621891
4,gpu,128x128,"[64,32], 128",0.001715,0.003015,0.005784,0.007633,1.7580174927113703,1.3196749654218534
5,gpu,128x128,"[64,64], 128",0.001924,0.003251,0.006524,0.008202,1.6897089397089398,1.2572041692213365
6,gpu,128x128,"[128,64], 128",0.002879,0.004484,0.011049,0.011661,1.5574852379298367,1.0553896280206354
7,gpu,128x128,"[32,32,32], 128",0.001258,0.002656,0.003566,0.005827,2.111287758346582,1.6340437464946718
8,gpu,128x128,"[32,32,32,32], 128",0.001279,0.002742,0.003676,0.00609,2.1438623924941362,1.6566920565832426
9,gpu,128x128,"[512,256,128], 64",0.011079,0.013694,0.056797,0.046614,1.2360321328639767,0.8207123615683928
10,gpu,128x128,"[256,256,256], 64",0.006517,0.008773,0.034731,0.02648,1.3461715513272978,0.7624312573781349
11,gpu,256x256,"[32,32,32], 128",0.00441,0.009091,0.012805,0.019838,2.061451247165533,1.5492385786802032
12,gpu,256x256,"[32,32,32,32,32], 128",0.004485,0.009137,0.01303,0.020231,2.037235228539576,1.5526477359938602
